galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC2841,45.16,274.0,151.7352121295515,4.24,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.0282160404834997,0.023981177425585358,2.185667800763012e-06,15.436955127346739,7508885.896237872,0.583621289484257,4516662.179512605,0.41637871051574304,0.2710152399978563,0.5402675621945286,0.48175143227595535,0.46442769543579204,0.5145859031807122,149879486.0801109,1702.805999019694,5,151.7352121295515,0.4462218535417828,0.18579727998167225
NGC2841,47.1,277.0,147.8638005057357,4.24,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.0270327799970533,0.021579691245729903,1.7267721802626853e-06,12.19586281706901,6464631.078237189,0.5789951769878598,3867283.976981517,0.42100482301214015,0.25067198736707197,0.5408914450880487,0.4812093962061604,0.46189545103140583,0.5115234949371427,143715489.39316243,1775.8773337709704,5,147.8638005057357,0.4661956660442755,0.196270623871997
NGC2841,49.19,281.0,143.90104690376648,4.24,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.025758030297737,0.01899252314475161,1.2323949396205823e-06,8.704170585893532,5339634.908329242,0.5740113753809165,3167696.119615553,0.42598862461908343,0.22875580283184557,0.5415635663496244,0.4806254501309689,0.459167414533897,0.5082243025510292,137074895.0242334,1854.5985139927063,5,143.90104690376648,0.48789663023570645,0.2078384144703941
NGC2841,51.27,286.0,140.6067857537466,4.24,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.024489379879279,0.016417733838514834,7.403831403212626e-07,5.22918501611122,4220021.495215107,0.5690514197146763,2471455.572571912,0.4309485802853237,0.20694448042358193,0.5422324717199964,0.4800442980561372,0.45645243084259624,0.5049408957744187,130466073.83410308,1932.9430378497452,5,140.6067857537466,0.508367881979907,0.2190804170018979
NGC2841,53.36,282.0,138.26573183547686,4.24,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.023214630179963,0.013830565737536542,2.4600589967915966e-07,1.7374927849357462,3095025.3253071606,0.5640676181077331,1771867.7152059488,0.43593238189226696,0.18502829588835557,0.5429045929815721,0.47946035198094566,0.4537243943450874,0.5016417033883053,123825479.46517408,2011.6642180714812,5,138.26573183547686,0.5096959863990183,0.22219298539185253
NGC2841,55.3,283.0,137.06178570265308,4.24,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.022580304970734,0.012543171084418159,2.950060331572786e-17,4.459654543265603e-11,2535218.618750096,0.5615876402746129,1423747.4416841299,0.43841235972538706,0.1741226346842238,0.5432390456667582,0.47916977594352983,0.45236690249943706,0.5,120521068.87010893,2050.8364800000004,5,137.06178570265308,0.5156827360330279,0.22608168517388366
NGC2841,57.38,288.0,136.17402211875802,5.66,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.022580304970734,0.012543171084418159,2.950060331572786e-17,4.459654543265603e-11,2535218.618750096,0.5615876402746129,1423747.4416841299,0.43841235972538706,0.1741226346842238,0.5432390456667582,0.47916977594352983,0.45236690249943706,0.5,120521068.87010893,2050.8364800000004,5,136.17402211875802,0.527173534309868,0.23111939316156152
NGC2841,59.47,287.0,135.4042813207913,5.66,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.022580304970734,0.012543171084418159,2.950060331572786e-17,4.459654543265603e-11,2535218.618750096,0.5615876402746129,1423747.4416841299,0.43841235972538706,0.1741226346842238,0.5432390456667582,0.47916977594352983,0.45236690249943706,0.5,120521068.87010893,2050.8364800000004,5,135.4042813207913,0.528208079021633,0.23157295034988784
NGC2841,61.56,289.0,134.23628496051282,7.07,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.022580304970734,0.012543171084418159,2.950060331572786e-17,4.459654543265603e-11,2535218.618750096,0.5615876402746129,1423747.4416841299,0.43841235972538706,0.1741226346842238,0.5432390456667582,0.47916977594352983,0.45236690249943706,0.5,120521068.87010893,2050.8364800000004,5,134.23628496051282,0.5355145849117203,0.23477621283850847
NGC2841,63.64,294.0,132.65628556536626,7.07,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.022580304970734,0.012543171084418159,2.950060331572786e-17,4.459654543265603e-11,2535218.618750096,0.5615876402746129,1423747.4416841299,0.43841235972538706,0.1741226346842238,0.5432390456667582,0.47916977594352983,0.45236690249943706,0.5,120521068.87010893,2050.8364800000004,5,132.65628556536626,0.548788144335489,0.240595505347438
