Structural coupling rotation pipeline run log
started_at: 2026-03-23T17:27:34.723304
project_root: C:\Users\mincu\Desktop\topological_gravity_project
data_dir: C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized
output_root: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling
run_dir: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling\2026-03-23_172734_local_structural_coupling_v4
beta_mode: local_structural_coupling_v4
beta_value: 200.0
n_input_files: 175
------------------------------------------------------------------------
[089/175] [OK] NGC6503 | beta_mean=72.1799 | eta_mean=0.510403 | ratio_max=0.499317 | sigma_flip=75.7016 | rmse=56.6765 | mafe=0.463885
[090/175] [OK] NGC6674 | beta_mean=67.903 | eta_mean=0.472257 | ratio_max=0.124652 | sigma_flip=14.2217 | rmse=84.4952 | mafe=0.317402
[091/175] [OK] NGC6789 | beta_mean=97.5311 | eta_mean=0.471418 | ratio_max=0.552215 | sigma_flip=541.504 | rmse=22.1161 | mafe=0.403319
[092/175] [OK] NGC6946 | beta_mean=67.5382 | eta_mean=0.471017 | ratio_max=0.734945 | sigma_flip=58.4435 | rmse=41.5744 | mafe=0.218618
[093/175] [OK] NGC7331 | beta_mean=73.717 | eta_mean=0.486707 | ratio_max=0.370272 | sigma_flip=51.392 | rmse=56.7137 | mafe=0.202892
[094/175] [OK] NGC7793 | beta_mean=86.5345 | eta_mean=0.457831 | ratio_max=0.699281 | sigma_flip=344.115 | rmse=32.4809 | mafe=0.316525
[095/175] [OK] NGC7814 | beta_mean=72.5308 | eta_mean=0.487594 | ratio_max=0.506114 | sigma_flip=172.003 | rmse=85.1828 | mafe=0.36216
[096/175] [OK] PGC51017 | beta_mean=58.8556 | eta_mean=0.440927 | ratio_max=0.566624 | sigma_flip=35.7624 | rmse=5.38986 | mafe=0.218384
[097/175] [OK] UGC00128 | beta_mean=81.6655 | eta_mean=0.465489 | ratio_max=0.214799 | sigma_flip=1.16736 | rmse=68.8517 | mafe=0.548236
[098/175] [OK] UGC00191 | beta_mean=110.717 | eta_mean=0.485076 | ratio_max=0.700518 | sigma_flip=80.7032 | rmse=35.1552 | mafe=0.423533
[099/175] [OK] UGC00634 | beta_mean=86.5504 | eta_mean=0.461981 | ratio_max=0.565001 | sigma_flip=3.73264 | rmse=61.7846 | mafe=0.602864
[100/175] [OK] UGC00731 | beta_mean=89.2546 | eta_mean=0.463974 | ratio_max=0.494735 | sigma_flip=6.36055 | rmse=35.2592 | mafe=0.574539
[101/175] [OK] UGC00891 | beta_mean=88.1553 | eta_mean=0.46463 | ratio_max=0.590874 | sigma_flip=1.0525 | rmse=32.9428 | mafe=0.569086
[102/175] [OK] UGC01230 | beta_mean=89.2955 | eta_mean=0.468638 | ratio_max=0.42705 | sigma_flip=17.2441 | rmse=53.1003 | mafe=0.49608
[103/175] [OK] UGC01281 | beta_mean=79.3318 | eta_mean=0.469101 | ratio_max=1.04175 | sigma_flip=40.7759 | rmse=22.3671 | mafe=0.506544
[104/175] [OK] UGC02023 | beta_mean=73.5479 | eta_mean=0.45055 | ratio_max=0.505061 | sigma_flip=64.1473 | rmse=15.002 | mafe=0.311663
[105/175] [OK] UGC02259 | beta_mean=74.8189 | eta_mean=0.454256 | ratio_max=0.604436 | sigma_flip=25.869 | rmse=49.257 | mafe=0.597413
[106/175] [OK] UGC02455 | beta_mean=67.8722 | eta_mean=0.44737 | ratio_max=0.588373 | sigma_flip=487.694 | rmse=28.1029 | mafe=0.883927
[107/175] [OK] UGC02487 | beta_mean=66.1458 | eta_mean=0.47081 | ratio_max=0.0978634 | sigma_flip=20.1585 | rmse=117.129 | mafe=0.318118
[108/175] [OK] UGC02885 | beta_mean=72.5265 | eta_mean=0.472835 | ratio_max=0.108915 | sigma_flip=11.3065 | rmse=74.3548 | mafe=0.225033
[109/175] [OK] UGC02916 | beta_mean=68.5622 | eta_mean=0.488443 | ratio_max=0.536218 | sigma_flip=1453.97 | rmse=48.1246 | mafe=0.199779
[110/175] [OK] UGC02953 | beta_mean=84.18 | eta_mean=0.450591 | ratio_max=0.500282 | sigma_flip=2721.51 | rmse=70.2597 | mafe=0.194117
[111/175] [OK] UGC03205 | beta_mean=72.0466 | eta_mean=0.435265 | ratio_max=0.544701 | sigma_flip=763.342 | rmse=64.4351 | mafe=0.273928
