galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,L_static,delta_sigma_i,beta_i,rho_struct_i,M_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms,source_file
NGC3917,4,11.35,14.86,13.105,0.35,2.0054059113354863,101.61509729949712,137.2,4.9,5,14.86,0.87,2.837935106623121,0.3523688747026732,0.0028947568133208534,0.9918185199962348,3.9887497966877095,15.835966967728407,3.96580075675994e-07,0.0022797328553437793,101.61509732507,NGC3917_segment_structure_v8.csv
NGC4010,1,0.87,3.5,2.185,0.35,2.048173842196159,68.99372899137225,60.825,6.0249999999999995,4,10.47,0.87,2.4877760922159533,0.4019654353657139,0.0,1.0,4.195016087856576,4.195016087856576,3.779123657226717e-06,0.0028735666324343997,68.99372905121382,NGC4010_segment_structure_v8.csv
NGC4010,2,4.37,6.98,5.675000000000001,0.35,2.014818524058862,101.36973526596431,110.075,5.550000000000001,4,10.47,0.87,2.4877760922159533,0.4019654353657139,0.03335531813729675,0.9203690362498174,3.7362322904251024,7.931248378281678,1.059180980422999e-06,0.0024517039103245154,101.36973529561247,NGC4010_segment_structure_v8.csv
NGC4010,3,7.85,10.47,9.16,0.35,2.008300668148807,101.06352102974711,125.5,4.8,4,10.47,0.87,2.4877760922159533,0.4019654353657139,0.006517855910054937,0.9839157887747766,3.968399581767075,11.899647960048753,6.099630407011365e-07,0.002363738871538565,101.06352105738944,NGC4010_segment_structure_v8.csv
NGC4013,1,5.49,9.88,7.6850000000000005,0.35000000000000003,2.0102575091471375,221.90782079557766,194.85714285714286,5.0,7,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0,1.0,4.041135253082453,4.041135253082453,2.9429033349717765e-07,0.001503868748570104,221.90782080067353,NGC4013_segment_structure_v8.csv
NGC4013,2,10.56,14.98,12.77,0.35000000000000003,2.0055754384806637,180.49914362500803,182.0,7.142857142857143,7,31.01,5.49,1.7313814775909184,0.5775734654337539,0.004682070666473859,0.991926318234939,3.9898578041381385,8.030993057220591,2.1181065860563355e-07,0.001644634339418322,180.49914363250065,NGC4013_segment_structure_v8.csv
NGC4013,3,15.68,20.79,18.235,0.35,2.0036519866949285,144.67868483384245,166.25,5.125,8,31.01,5.49,1.7313814775909184,0.5775734654337539,0.001923451785735164,0.9966753102665654,4.001273913620701,12.032266970841292,1.5563106121700448e-07,0.001684616395887229,144.67868484365016,NGC4013_segment_structure_v8.csv
NGC4013,4,21.48,25.2,23.34,0.35000000000000003,2.0027297017391583,126.15143218923197,172.5,5.0,6,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0009222849557701807,0.998404447160553,4.004526613448089,16.03679358428938,1.2661238525057116e-07,0.001719050049227285,126.15143220094461,NGC4013_segment_structure_v8.csv
NGC4013,5,25.9,31.01,28.455,0.35,2.0021633848928735,114.36964773183456,177.5,6.125,8,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0005663168462848311,0.9990199700452411,4.004729614671889,20.04152319896127,1.0645692085981556e-07,0.001740468811287939,114.36964774507773,NGC4013_segment_structure_v8.csv
NGC4068,1,0.21,2.33,1.27,0.35000000000000003,2.095770010174564,22.163802660980462,24.763333333333335,2.9866666666666664,6,2.33,0.21,2.4065160158422776,0.4155384769587753,0.0,1.0,4.392251935547093,4.392251935547093,1.1712245193200972e-05,0.0038567539972579577,22.16380299654001,NGC4068_segment_structure_v8.csv
NGC4088,1,1.74,6.98,4.36,0.35,2.02045422031826,206.23582623980633,140.475,8.925,4,21.48,1.74,2.513237156414226,0.3978932101365058,0.0,1.0,4.0822352564018685,4.0822352564018685,9.236031498091152e-07,0.00200671615660206,206.2358262495692,NGC4088_segment_structure_v8.csv
NGC4088,2,8.72,13.94,11.33,0.35,2.006432061401473,228.6614531039015,176.5,6.625,4,21.48,1.74,2.513237156414226,0.3978932101365058,0.014022158916787042,0.9653727229629177,3.886368177203752,7.968603433605621,2.669824715614822e-07,0.001739227242999486,228.66145311051588,NGC4088_segment_structure_v8.csv
NGC4088,3,15.68,21.48,18.58,0.35,2.003571944043118,176.15766912675343,169.5,6.975,4,21.48,1.74,2.513237156414226,0.3978932101365058,0.0028601173583551187,0.9928376197662533,3.9855485881528256,11.954152021758446,1.4893189307315967e-07,0.001663476652465945,176.15766913460763,NGC4088_segment_structure_v8.csv
NGC4157,1,1.74,6.98,4.36,0.35,2.02045422031826,215.8670910476772,161.6,9.475,4,29.61,1.74,2.8342270288870623,0.3528298861762947,0.0,1.0,4.0822352564018685,4.0822352564018685,9.236031498091152e-07,0.00200671615660206,215.86709105700447,NGC4157_segment_structure_v8.csv
NGC4157,2,8.72,13.94,11.33,0.35,2.006432061401473,227.09331741195047,192.75,6.525,4,29.61,1.74,2.8342270288870623,0.3528298861762947,0.014022158916787042,0.9610373722931481,3.868915054198268,7.951150310600136,2.663977169108969e-07,0.0017373215397848672,227.09331741859594,NGC4157_segment_structure_v8.csv
