r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
9.59,319.0,3.23,249.74366915430824,326.28594177500196,11101.40936392075,-1514.607093253969,-1383.4401987607098,-1329.8002014276447,60.128565030663374,2.3970397653715554,0.5988159061486222,0.5009570226535435,0.7827492008820607,-8591.191482403809,-4597.561576365319,6503.847787555431,0.4141421530951968,154.80775728878803
10.8,317.0,4.08,248.91059417040054,319.55059458558355,9454.868749999998,-1131.441231497827,-1198.46727730646,-1168.2523143365966,54.19118689723152,2.40388192108792,0.601552768435168,0.5029474679528495,0.7807857351007104,-6086.928421445675,-3718.1572786794577,5736.71147132054,0.39325318806561527,161.5478870910481
12.02,312.0,2.62,255.30492221853282,316.84558731344197,8352.00717138103,-856.6324713056842,-1027.9603881394057,-1011.4914188639461,48.259816608035784,2.416165241192027,0.6064660964768109,0.5065207974376806,0.7784010454917204,-4251.466845837076,-2929.328027536513,5422.679143844517,0.35073341861752017,156.76089547265042
13.22,308.0,0.76,260.6842524140668,312.3901986298546,7381.818169440242,-815.3594461198121,-875.7109795411575,-875.4477544780636,42.75593514659426,2.426136357927812,0.6104545431711248,0.5094214859426363,0.7754813252300001,-2964.888176055236,-2241.403687089192,5140.4144823510505,0.30363843102615407,136.0436643858825
14.42,303.0,1.86,261.3239632224104,303.6741406507969,6395.144500693481,-821.7616985197362,-765.91410383883,-765.186542548939,37.73173817082819,2.436150818273978,0.6144603273095912,0.5123347834978845,0.7726057647908168,-2086.0513101406195,-1659.3460433933633,4735.798457300118,0.2594696715943519,110.26121192912467
15.63,298.0,1.34,256.35867190771035,290.55714033559735,5401.3724760076775,-753.3600502627271,-682.2690169747495,-674.0226761530632,33.03492897492933,2.4460911978315893,0.6184364791326358,0.5152265302782806,0.7705560458184835,-1473.9139148973322,-1196.65279192034,4204.719684087338,0.22154606023482817,91.16386639587574
16.83,296.0,1.41,250.7105298244051,277.6216351439491,4579.54677956031,-582.4568529861903,-593.1691442674212,-584.8808900669586,28.629730354399356,2.452355980923824,0.6209423923695295,0.5170490126323851,0.7693399986067782,-1028.6695504429308,-844.8011013170583,3734.745678243252,0.18447264368771643,89.14178608610462
18.03,294.0,1.15,248.33944125207734,268.66833233561414,4003.4760288408206,-438.40703698528216,-491.9947846250529,-490.7874351028823,24.484156162135275,2.4541794790400933,0.6216717916160374,0.5175794848116635,0.7689218192805611,-697.6596369183947,-582.9281596564629,3420.5478691843578,0.14560550767809788,94.09345496407633
19.23,294.0,0.59,245.5230467901187,260.44447200891017,3527.369890795632,-369.8600825831697,-394.93385621512806,-402.4055528479418,20.62307947950903,2.4536324260360494,0.6214529704144198,0.517420342119578,0.7691743883547062,-458.9851625401355,-392.6030418563276,3134.766848939304,0.11130192013057419,88.38188225494048
20.43,294.0,0.5,241.54214998450257,252.30147779987337,3115.811830641214,-315.8899003078951,-324.56603683297817,-331.39515175848754,17.195296839834768,2.453580442673962,0.6214321770695849,0.5174052196869708,0.7698197309604776,-298.7313993777087,-260.0795634294693,2855.7322672117443,0.08347088257121953,71.01040108945426
21.64,292.0,1.21,236.91915401249213,244.65867652711603,2766.0752310536045,-268.05540821310274,-277.01967999203094,-279.34496860842205,14.386552417465879,2.4550582043753417,0.6220232817501368,0.5178351140000994,0.7705465696076385,-197.6152248416102,-172.2357884475523,2593.839442606052,0.06226721041927239,52.05018315006549
22.84,290.0,1.21,231.87102289865717,237.50830111808727,2469.7982968476363,-230.61775607544115,-237.82448293938498,-239.45791534081093,12.228797267529558,2.4563674895485366,0.6225469958194146,0.5182159969595743,0.7711923750616831,-134.68608116422882,-115.85034325439632,2353.94795359324,0.04690680344312474,39.88705326761112
24.04,287.0,0.81,226.44090624559914,230.63114815653154,2212.592616472546,-200.67525278054586,-204.39333601976307,-206.00503487395855,10.51871115808894,2.4571627781980303,0.6228651112792122,0.5184473536576089,0.7718213081497959,-94.05508823940576,-79.66898829749526,2132.923628175051,0.03600707500529789,33.45288046685238
25.24,283.0,1.08,220.8458925166809,224.01251058813656,1988.1776901743265,-173.8840973199399,-176.3462150171687,-177.61764850784024,9.06889614055079,2.457638095052259,0.6230552380209037,0.5185856276515663,0.7725927502411885,-66.45964263203923,-55.81207046397111,1932.3656197103553,0.02807197301317541,28.387386366118307
