galaxy,source_file,beta_mode,beta,a_newton_source,rmse_kmps,mean_absolute_fractional_error,chi2,n_points,status
NGC4010,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4010_normalized.csv,structural,1615.7787131809846,computed_from_baryonic_velocity,540.329366634292,5.946766087859224,93571.64865997888,12,ok
NGC4013,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4013_normalized.csv,structural,1138.8862424505674,computed_from_baryonic_velocity,178.73047266471477,0.9999999763728444,46687.070380159435,36,ok
NGC4051,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4051_normalized.csv,structural,4485.998497706421,computed_from_baryonic_velocity,164.54188612800536,1.0912949136693009,3902.322810141467,7,ok
NGC4068,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4068_normalized.csv,structural,458.40876758835077,computed_from_baryonic_velocity,253.70492504064666,23.252289591958903,31179.47838677688,6,ok
NGC4085,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4085_normalized.csv,structural,6279.111731843575,computed_from_baryonic_velocity,113.34072967439356,0.9999999828447859,3130.07121366429,7,ok
NGC4088,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4088_normalized.csv,structural,4732.361785111256,computed_from_baryonic_velocity,350.33856544110427,1.657121427253515,23251.024503448625,12,ok
NGC4100,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4100_normalized.csv,structural,1965.265297959518,computed_from_baryonic_velocity,303.97270529486894,1.337215870035455,64097.94466881936,24,ok
NGC4138,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4138_normalized.csv,structural,1860.9677558685448,computed_from_baryonic_velocity,166.56401297257744,0.9999999803324781,1721.3946353243423,7,ok
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,computed_from_baryonic_velocity,378.06785605999113,1.7766249531665341,22777.248273451693,17,ok
NGC4183,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4183_normalized.csv,structural,670.1451766953198,computed_from_baryonic_velocity,103.28768495105103,0.9999999703696546,8114.631425945658,23,ok
NGC4214,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4214_normalized.csv,structural,735.9389734293841,computed_from_baryonic_velocity,75.62408275104514,0.9999999790970459,2194.097203374293,14,ok
NGC4217,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4217_normalized.csv,structural,5269.303887614678,computed_from_baryonic_velocity,451.59761985099493,2.9516037915976785,61839.18912917673,19,ok
NGC4389,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4389_normalized.csv,structural,6119.834118101795,computed_from_baryonic_velocity,78.08145144035075,0.9999999752315879,802.123143711913,6,ok
NGC4559,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4559_normalized.csv,structural,990.5384813412618,computed_from_baryonic_velocity,112.09246000256607,0.9999999725520033,18800.682451518638,32,ok
NGC5005,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5005_normalized.csv,structural,21660.17275912335,computed_from_baryonic_velocity,252.76679852874187,0.9999999915445428,3704.424202609276,18,ok
NGC5033,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5033_normalized.csv,structural,1316.8768980570999,computed_from_baryonic_velocity,211.86315917287237,0.9999999794077571,117511.85531145247,22,ok
NGC5055,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5055_normalized.csv,structural,3173.368248375824,computed_from_baryonic_velocity,188.0236456646962,0.9999999779325334,1069683.500272688,28,ok
NGC5371,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5371_normalized.csv,structural,4393.762316831684,computed_from_baryonic_velocity,221.70202430251985,0.9999999804873293,77004.1673197825,19,ok
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,computed_from_baryonic_velocity,643.2796387240152,13.221173099562137,4864409.697951849,24,ok
NGC5907,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5907_normalized.csv,structural,1250.7879660404624,computed_from_baryonic_velocity,219.3798261761633,0.9871629135168788,135533.98635114165,19,ok
NGC5985,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5985_normalized.csv,structural,3347.1764769820966,computed_from_baryonic_velocity,277.84066536735014,0.9562409379229037,108793.46917624939,33,ok
NGC6015,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC6015_normalized.csv,structural,1362.6143442616171,computed_from_baryonic_velocity,396.58579342270065,2.7734698529210036,1130915.3248888606,44,ok
