galaxy,source_file,beta_mode,status,error
UGC05750,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05750_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC05764,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05764_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC05829,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05829_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC05918,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05918_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC05986,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05986_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC05999,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC05999_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC06399,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06399_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC06446,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06446_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC06628,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06628_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC06667,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06667_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC06786,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06786_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC06787,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06787_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
UGC06818,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06818_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
