r_kpc,v_obs_kmps,v_err_kmps,v_baryon_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
28.85,273.0,1.9,207.1387044953212,173.4765367077793,1487.2250571923744,-111.20908128054594,117.41605028392762,2.5809661402847555,0.725919267243077,-444.10170231800686,1043.1233548743676
30.05,271.0,1.12,202.36832261991995,172.66920829046018,1362.8265557404327,-96.63089516348943,117.18457698004825,2.5773601024956303,0.7235859486736431,-370.6583197452807,992.1682359951519
31.25,270.0,1.41,198.06177293965638,171.75384856874598,1255.3109087999999,-84.43096970028589,116.90680180868407,2.574711031187538,0.7218718437095835,-311.3306048583765,943.9803039416233
32.34,268.0,1.76,194.4761460950931,171.12072687290757,1169.4796351267778,-74.16165476887193,116.60647880866414,2.572902856637133,0.7207018484122624,-264.02808393592346,905.4515511908544
33.55,267.0,1.81,190.76948629170232,169.44895027626578,1084.7391028315947,-66.77369259566599,116.33881698216298,2.5711308029610627,0.7195552254453934,-228.9135663270227,855.825536504572
34.75,266.0,2.18,187.20920783978548,167.59134946616865,1008.555035971223,-60.57096252660888,116.11236740416666,2.5693734354257924,0.7184181052755128,-200.3000599743464,808.2549759968766
35.95,265.0,3.01,183.76699404408834,165.7534818849309,939.368792767733,-54.83097562058028,115.91162738644756,2.5673645140126067,0.7171182149493337,-175.13466879059501,764.234123977138
37.15,264.0,2.04,180.49678612097225,164.0782989006978,876.9606944818304,-49.30956434857202,115.70669460488993,2.565987476137279,0.7162271904417687,-152.28537361650794,724.6753208653224
38.35,264.0,1.58,177.44390916568537,162.55449470664925,821.0258383311602,-44.16986093607706,115.483447872554,2.564724035974204,0.7154096703362496,-132.00461931332305,689.0212190178372
39.56,264.0,3.23,174.58931296044437,161.14000589671898,770.5113296258845,-39.44241028730162,115.25663514040195,2.563534867064878,0.7146402081008032,-114.13869311439261,656.3726365114919
40.76,264.0,2.94,172.01895854817863,159.74962604804927,725.9696295387635,-35.59397035968897,115.06254127198795,2.561518922107508,0.7133357731283876,-99.86700386428889,626.1026256744746
41.96,264.0,1.62,169.54704420897463,158.05977691697768,685.085800762631,-32.93794998159012,114.90258503488148,2.5587625424239215,0.7115522333331257,-89.68796761094495,595.3978331516861
43.16,264.0,2.15,167.09579468077587,156.29128332242658,646.9185495829472,-30.608456584670087,114.75451274074949,2.556834810474548,0.710304877365884,-80.95549947703857,565.9630501059087
44.36,262.0,4.45,164.71705254769464,154.760020618749,611.6255049594229,-27.88736952492857,114.61539295339453,2.556648461848332,0.7101842988430384,-71.70972538513041,539.9157795742924
45.57,260.0,7.43,162.53425546634776,153.41586806198296,579.7099890278693,-25.263499822581988,114.53246116618934,2.5571606570476453,0.7105157192661233,-63.22044386193185,516.4895451659374
46.77,258.0,7.22,160.49340111045063,151.93008674723816,550.7404703870002,-23.452470065204725,114.53747853483455,2.5565619344786135,0.7101283105449852,-57.202919413655884,493.5375509733443
47.97,257.0,5.37,158.4570989258607,150.31734132491627,523.424060871378,-22.021319986177268,114.5654020655006,2.5558746930454666,0.7096836249117724,-52.39418588719241,471.02987498418554
49.17,258.0,5.43,156.46474682815932,148.8223068810523,497.8893024201748,-20.428001506281046,114.6145663871317,2.5569550555535687,0.7103826830052503,-47.45043674195414,450.4388656782206
50.37,260.0,6.47,154.58127215157728,147.46957068021328,474.39685725630346,-18.791421124278745,114.68251789054221,2.559038547308816,0.711730824729234,-42.64632565800245,431.750531598301
51.58,263.0,5.75,152.79139373668923,146.01046693661854,452.60197751066306,-17.695949411773384,114.84711212973677,2.5583685397779483,0.7112972904445548,-39.281767059919005,413.32021045074407
