galaxy,source_file,status,n_rows,has_nan,missing_columns,non_positive_r,non_positive_v_err,negative_v_obs,not_monotonic_r,duplicate_r_count,r_min,r_max,v_obs_min,v_obs_max,notes
UGC07151,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC07151.csv,ok,11,False,,0,0,0,False,0,0.5,5.5,24.2,76.2,
UGC07232,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC07232.csv,warning,4,False,,0,0,0,False,0,0.21,0.82,16.4,44.0,too_few_points
UGC07261,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC07261.csv,ok,7,False,,0,0,0,False,0,0.95,6.67,46.8,76.1,
UGC07323,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC07323.csv,ok,10,False,,0,0,0,False,0,0.58,5.82,23.9,85.6,
UGC07399,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC07399.csv,ok,10,False,,0,0,0,False,0,0.61,6.13,47.3,106.0,
UGC07524,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC07524.csv,ok,31,False,,0,0,0,False,0,0.35,10.69,14.4,83.8,
UGC07559,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC07559.csv,ok,7,False,,0,0,0,False,0,0.36,2.53,9.31,32.1,
UGC07577,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC07577.csv,ok,9,False,,0,0,0,False,0,0.19,1.69,3.74,17.8,
UGC07603,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC07603.csv,ok,12,False,,0,0,0,False,0,0.34,4.11,19.6,64.0,
UGC07608,C:\Users\mincu\Desktop\topological_gravity_project\data\raw\sparc_csv\UGC07608.csv,ok,8,False,,0,0,0,False,0,0.6,4.78,14.6,69.3,
