galaxy_id,filename,filepath,catalog_prefix,catalog_number,name_normalized,row_count,source_expected
UGC07089,UGC07089.csv,data/derived/sparc/UGC07089.csv,UGC,07089,UGC07089,12,SPARC
UGC07125,UGC07125.csv,data/derived/sparc/UGC07125.csv,UGC,07125,UGC07125,13,SPARC
UGC07151,UGC07151.csv,data/derived/sparc/UGC07151.csv,UGC,07151,UGC07151,11,SPARC
UGC07232,UGC07232.csv,data/derived/sparc/UGC07232.csv,UGC,07232,UGC07232,4,SPARC
UGC07261,UGC07261.csv,data/derived/sparc/UGC07261.csv,UGC,07261,UGC07261,7,SPARC
UGC07323,UGC07323.csv,data/derived/sparc/UGC07323.csv,UGC,07323,UGC07323,10,SPARC
UGC07399,UGC07399.csv,data/derived/sparc/UGC07399.csv,UGC,07399,UGC07399,10,SPARC
UGC07524,UGC07524.csv,data/derived/sparc/UGC07524.csv,UGC,07524,UGC07524,31,SPARC
UGC07559,UGC07559.csv,data/derived/sparc/UGC07559.csv,UGC,07559,UGC07559,7,SPARC
UGC07577,UGC07577.csv,data/derived/sparc/UGC07577.csv,UGC,07577,UGC07577,9,SPARC
UGC07603,UGC07603.csv,data/derived/sparc/UGC07603.csv,UGC,07603,UGC07603,12,SPARC
UGC07608,UGC07608.csv,data/derived/sparc/UGC07608.csv,UGC,07608,UGC07608,8,SPARC
UGC07690,UGC07690.csv,data/derived/sparc/UGC07690.csv,UGC,07690,UGC07690,7,SPARC
UGC07866,UGC07866.csv,data/derived/sparc/UGC07866.csv,UGC,07866,UGC07866,7,SPARC
UGC08286,UGC08286.csv,data/derived/sparc/UGC08286.csv,UGC,08286,UGC08286,17,SPARC
UGC08490,UGC08490.csv,data/derived/sparc/UGC08490.csv,UGC,08490,UGC08490,30,SPARC
UGC08550,UGC08550.csv,data/derived/sparc/UGC08550.csv,UGC,08550,UGC08550,11,SPARC
UGC08699,UGC08699.csv,data/derived/sparc/UGC08699.csv,UGC,08699,UGC08699,41,SPARC
UGC08837,UGC08837.csv,data/derived/sparc/UGC08837.csv,UGC,08837,UGC08837,8,SPARC
UGC09037,UGC09037.csv,data/derived/sparc/UGC09037.csv,UGC,09037,UGC09037,22,SPARC
UGC09133,UGC09133.csv,data/derived/sparc/UGC09133.csv,UGC,09133,UGC09133,68,SPARC
